CIK,coName,formtype,date,fName,length,full_link
896156,ETHAN ALLEN INTERIORS INC,10-K,2019-06-30,278334.txt,62994,/blue/acg7849/share/BS/item1/278334.txt
785557,DLH Holdings Corp.,10-K,2019-09-30,277039.txt,37662,/blue/acg7849/share/BS/item1/277039.txt
1658520,"OS Support, Inc.",10-K,2019-06-30,282944.txt,5840,/blue/acg7849/share/BS/item1/282944.txt
1396033,"Lumber Liquidators Holdings, Inc.",10-K,2019-12-31,280938.txt,22884,/blue/acg7849/share/BS/item1/280938.txt
26780,DANA INC,10-K,2019-12-31,284222.txt,164546,/blue/acg7849/share/BS/item1/284222.txt
1410187,Cannonau Corp.,10-K,2019-12-31,281034.txt,4774,/blue/acg7849/share/BS/item1/281034.txt
1645590,Hewlett Packard Enterprise Co,10-K,2019-10-31,273416.txt,94600,/blue/acg7849/share/BS/item1/273416.txt
716643,REGIS CORP,10-K,2019-06-30,276448.txt,251053,/blue/acg7849/share/BS/item1/276448.txt
317540,"Coca-Cola Consolidated, Inc.",10-K,2019-12-29,284300.txt,177665,/blue/acg7849/share/BS/item1/284300.txt
1104855,"Support.com, Inc.",10-K,2019-12-31,279795.txt,20993,/blue/acg7849/share/BS/item1/279795.txt
1691906,"ANTILIA GROUP, CORP.",10-K,2019-01-31,274395.txt,11870,/blue/acg7849/share/BS/item1/274395.txt
885978,U S PHYSICAL THERAPY INC /NV,10-K,2019-12-31,285441.txt,54023,/blue/acg7849/share/BS/item1/285441.txt
1280600,ACCELERON PHARMA INC,10-K,2019-12-31,280305.txt,188572,/blue/acg7849/share/BS/item1/280305.txt
1058811,IMMERSION CORP,10-K,2019-12-31,279509.txt,48195,/blue/acg7849/share/BS/item1/279509.txt
1462120,"Live Oak Bancshares, Inc.",10-K,2019-12-31,281337.txt,108010,/blue/acg7849/share/BS/item1/281337.txt
1693256,"Select Energy Services, Inc.",10-K,2019-12-31,283258.txt,96505,/blue/acg7849/share/BS/item1/283258.txt
1633858,Audax Credit BDC Inc.,10-K,2019-12-31,282711.txt,256299,/blue/acg7849/share/BS/item1/282711.txt
1052595,Red Lion Hotels CORP,10-K,2019-12-31,279468.txt,126409,/blue/acg7849/share/BS/item1/279468.txt
1645460,"Cue Biopharma, Inc.",10-K,2019-12-31,282822.txt,90965,/blue/acg7849/share/BS/item1/282822.txt
1575295,COSMO VENTURES INC,10-K,2019-03-31,271846.txt,11806,/blue/acg7849/share/BS/item1/271846.txt
1682852,"Moderna, Inc.",10-K,2019-12-31,283163.txt,1090790,/blue/acg7849/share/BS/item1/283163.txt
1715942,"DATA VISION, INC.",10-K,2019-12-31,283484.txt,8326,/blue/acg7849/share/BS/item1/283484.txt
78814,PITNEY BOWES INC /DE/,10-K,2019-12-31,284955.txt,39439,/blue/acg7849/share/BS/item1/284955.txt
1489393,LyondellBasell Industries N.V.,10-K,2019-12-31,281491.txt,190745,/blue/acg7849/share/BS/item1/281491.txt
1740547,Urovant Sciences Ltd.,10-K,2019-03-31,275176.txt,145405,/blue/acg7849/share/BS/item1/275176.txt
1446687,"Hartman Short Term Income Properties XX, Inc.",10-K,2019-12-31,281275.txt,39469,/blue/acg7849/share/BS/item1/281275.txt
810136,PHOTRONICS INC,10-K,2019-10-31,277268.txt,23991,/blue/acg7849/share/BS/item1/277268.txt
1327318,"TrueCar, Inc.",10-K,2019-12-31,280530.txt,118430,/blue/acg7849/share/BS/item1/280530.txt
1128361,HOPE BANCORP INC,10-K,2019-12-31,279912.txt,86499,/blue/acg7849/share/BS/item1/279912.txt
1000229,CORE LABORATORIES N V,10-K,2019-12-31,279101.txt,117687,/blue/acg7849/share/BS/item1/279101.txt
1614806,Great Ajax Corp.,10-K,2019-12-31,282530.txt,119449,/blue/acg7849/share/BS/item1/282530.txt
1071993,CONTANGO OIL & GAS CO,10-K,2019-12-31,279597.txt,115147,/blue/acg7849/share/BS/item1/279597.txt
1041514,NET 1 UEPS TECHNOLOGIES INC,10-K,2019-06-30,265654.txt,60161,/blue/acg7849/share/BS/item1/265654.txt
1442101,Zhong Ya International Ltd,10-K,2019-12-31,281248.txt,6543,/blue/acg7849/share/BS/item1/281248.txt
1656634,"Gritstone Oncology, Inc.",10-K,2019-12-31,282928.txt,175427,/blue/acg7849/share/BS/item1/282928.txt
744825,AMERICAN SHARED HOSPITAL SERVICES,10-K,2019-12-31,284816.txt,146108,/blue/acg7849/share/BS/item1/284816.txt
1413488,"MCTC Holdings, Inc.",10-K,2019-08-31,269360.txt,67241,/blue/acg7849/share/BS/item1/269360.txt
704440,REPRO MED SYSTEMS INC,10-K,2019-12-31,284607.txt,24539,/blue/acg7849/share/BS/item1/284607.txt
899460,MANNKIND CORP,10-K,2019-12-31,285553.txt,67137,/blue/acg7849/share/BS/item1/285553.txt
1177702,SAIA INC,10-K,2019-12-31,280113.txt,69785,/blue/acg7849/share/BS/item1/280113.txt
72741,EVERSOURCE ENERGY,10-K,2019-12-31,284739.txt,136792,/blue/acg7849/share/BS/item1/284739.txt
1356104,"Mellanox Technologies, Ltd.",10-K,2019-12-31,280663.txt,158030,/blue/acg7849/share/BS/item1/280663.txt
1360604,"HEALTHCARE TRUST OF AMERICA, INC.",10-K,2019-12-31,281544.txt,324881,/blue/acg7849/share/BS/item1/281544.txt
1535635,Service Team Inc.,10-K,2019-08-31,271149.txt,7618,/blue/acg7849/share/BS/item1/271149.txt
1109116,ENTRAVISION COMMUNICATIONS CORP,10-K,2019-12-31,279816.txt,146646,/blue/acg7849/share/BS/item1/279816.txt
311094,WESTAMERICA BANCORPORATION,10-K,2019-12-31,284265.txt,33926,/blue/acg7849/share/BS/item1/284265.txt
1743745,"Greenlane Holdings, Inc.",10-K,2019-12-31,283722.txt,79466,/blue/acg7849/share/BS/item1/283722.txt
870385,CAROLINA FINANCIAL CORP,10-K,2019-12-31,285326.txt,225252,/blue/acg7849/share/BS/item1/285326.txt
1620533,Shake Shack Inc.,10-K,2019-12-25,282589.txt,178008,/blue/acg7849/share/BS/item1/282589.txt
830524,CHASE CORP,10-K,2019-08-31,277519.txt,37667,/blue/acg7849/share/BS/item1/277519.txt
1352952,CFN Enterprises Inc.,10-K,2019-12-31,280636.txt,13320,/blue/acg7849/share/BS/item1/280636.txt
1528129,"Laredo Petroleum, Inc.",10-K,2019-12-31,281770.txt,502011,/blue/acg7849/share/BS/item1/281770.txt
858800,EMCLAIRE FINANCIAL CORP,10-K,2019-12-31,285268.txt,598105,/blue/acg7849/share/BS/item1/285268.txt
926617,"VERMILLION, INC.",10-K,2019-12-31,285731.txt,64892,/blue/acg7849/share/BS/item1/285731.txt
59860,GOLDRICH MINING CO,10-K,2019-12-31,284519.txt,27016,/blue/acg7849/share/BS/item1/284519.txt
1121142,Maxar Technologies Inc.,10-K,2019-12-31,279866.txt,52273,/blue/acg7849/share/BS/item1/279866.txt
1775625,"SmileDirectClub, Inc.",10-K,2019-12-31,283993.txt,151409,/blue/acg7849/share/BS/item1/283993.txt
1074902,LCNB CORP,10-K,2019-12-31,279609.txt,452403,/blue/acg7849/share/BS/item1/279609.txt
1760173,"RTI Surgical Holdings, Inc.",10-K,2019-12-31,283866.txt,99505,/blue/acg7849/share/BS/item1/283866.txt
1678848,BITMIS CORP.,10-K,2019-06-30,274097.txt,15073,/blue/acg7849/share/BS/item1/274097.txt
61004,LGL GROUP INC,10-K,2019-12-31,284526.txt,21625,/blue/acg7849/share/BS/item1/284526.txt
1178879,"AMICUS THERAPEUTICS, INC.",10-K,2019-12-31,280122.txt,188672,/blue/acg7849/share/BS/item1/280122.txt
1469372,MSG NETWORKS INC.,10-K,2019-06-30,270103.txt,38514,/blue/acg7849/share/BS/item1/270103.txt
1663641,Ando Holdings Ltd.,10-K,2019-09-30,282985.txt,43097,/blue/acg7849/share/BS/item1/282985.txt
1550453,TriLinc Global Impact Fund LLC,10-K,2019-12-31,281925.txt,72212,/blue/acg7849/share/BS/item1/281925.txt
1735092,"Gofba, Inc.",10-K,2019-12-31,283654.txt,38956,/blue/acg7849/share/BS/item1/283654.txt
1228454,BCB BANCORP INC,10-K,2019-12-31,280195.txt,197846,/blue/acg7849/share/BS/item1/280195.txt
1072379,NORTHWEST BIOTHERAPEUTICS INC,10-K,2019-12-31,279598.txt,35336,/blue/acg7849/share/BS/item1/279598.txt
891482,FULL HOUSE RESORTS INC,10-K,2019-12-31,285492.txt,37187,/blue/acg7849/share/BS/item1/285492.txt
79879,PPG INDUSTRIES INC,10-K,2019-12-31,285011.txt,87503,/blue/acg7849/share/BS/item1/285011.txt
1560143,WYTEC INTERNATIONAL INC,10-K,2019-12-31,282004.txt,45996,/blue/acg7849/share/BS/item1/282004.txt
1084991,NATURAL GAS SERVICES GROUP INC,10-K,2019-12-31,279671.txt,76488,/blue/acg7849/share/BS/item1/279671.txt
1701114,"Blue Apron Holdings, Inc.",10-K,2019-12-31,283335.txt,26964,/blue/acg7849/share/BS/item1/283335.txt
859163,AVX Corp,10-K,2019-03-31,277762.txt,41390,/blue/acg7849/share/BS/item1/277762.txt
1596993,DORIAN LPG LTD.,10-K,2019-03-31,272338.txt,122431,/blue/acg7849/share/BS/item1/272338.txt
1609988,flooidCX Corp.,10-K,2019-02-28,272613.txt,21677,/blue/acg7849/share/BS/item1/272613.txt
1515673,Ultragenyx Pharmaceutical Inc.,10-K,2019-12-31,281683.txt,194549,/blue/acg7849/share/BS/item1/281683.txt
14930,BRUNSWICK CORP,10-K,2019-12-31,281520.txt,92287,/blue/acg7849/share/BS/item1/281520.txt
4977,AFLAC INC,10-K,2019-12-31,284468.txt,170588,/blue/acg7849/share/BS/item1/284468.txt
1372612,BOX INC,10-K,2019-01-31,268678.txt,29330,/blue/acg7849/share/BS/item1/268678.txt
275880,PARSONS CORP,10-K,2019-12-31,284227.txt,63210,/blue/acg7849/share/BS/item1/284227.txt
718413,COMMUNITY BANCORP /VT,10-K,2019-12-31,284680.txt,64127,/blue/acg7849/share/BS/item1/284680.txt
1101396,"DELTA APPAREL, INC",10-K,2019-09-28,266525.txt,22916,/blue/acg7849/share/BS/item1/266525.txt
72741,EVERSOURCE ENERGY,10-K,2019-12-31,284203.txt,136792,/blue/acg7849/share/BS/item1/284203.txt
793733,SKYWEST INC,10-K,2019-12-31,284985.txt,31711,/blue/acg7849/share/BS/item1/284985.txt
1378946,"People's United Financial, Inc.",10-K,2019-12-31,280804.txt,68941,/blue/acg7849/share/BS/item1/280804.txt
1477845,"Annovis Bio, Inc.",10-K,2019-12-31,281440.txt,187288,/blue/acg7849/share/BS/item1/281440.txt
1065280,NETFLIX INC,10-K,2019-12-31,279545.txt,11805,/blue/acg7849/share/BS/item1/279545.txt
1133869,"CAPRICOR THERAPEUTICS, INC.",10-K,2019-12-31,279940.txt,173241,/blue/acg7849/share/BS/item1/279940.txt
1578732,"Marcus & Millichap, Inc.",10-K,2019-12-31,282189.txt,46547,/blue/acg7849/share/BS/item1/282189.txt
1617406,Park Hotels & Resorts Inc.,10-K,2019-12-31,282556.txt,251707,/blue/acg7849/share/BS/item1/282556.txt
1479419,"Kala Pharmaceuticals, Inc.",10-K,2019-12-31,281449.txt,222652,/blue/acg7849/share/BS/item1/281449.txt
939930,"PYXUS INTERNATIONAL, INC.",10-K,2019-03-31,278922.txt,158491,/blue/acg7849/share/BS/item1/278922.txt
1729149,"VIEMED HEALTHCARE, INC.",10-K,2019-12-31,283609.txt,115247,/blue/acg7849/share/BS/item1/283609.txt
1530766,"BioSig Technologies, Inc.",10-K,2019-12-31,281792.txt,75347,/blue/acg7849/share/BS/item1/281792.txt
784199,CRYOLIFE INC,10-K,2019-12-31,284943.txt,333357,/blue/acg7849/share/BS/item1/284943.txt
1419536,Capital Bancorp Inc,10-K,2019-12-31,281103.txt,313676,/blue/acg7849/share/BS/item1/281103.txt
1101680,DASAN ZHONE SOLUTIONS INC,10-K,2019-12-31,279770.txt,37221,/blue/acg7849/share/BS/item1/279770.txt
1434842,Forbes Energy Services Ltd.,10-K,2019-12-31,281200.txt,96961,/blue/acg7849/share/BS/item1/281200.txt
1413329,Philip Morris International Inc.,10-K,2019-12-31,281061.txt,55876,/blue/acg7849/share/BS/item1/281061.txt
1673985,AdvanSix Inc.,10-K,2019-12-31,283070.txt,104878,/blue/acg7849/share/BS/item1/283070.txt
1585689,Hilton Worldwide Holdings Inc.,10-K,2019-12-31,282268.txt,607075,/blue/acg7849/share/BS/item1/282268.txt
836564,PATRIOT SCIENTIFIC CORP,10-K,2019-05-31,277581.txt,36859,/blue/acg7849/share/BS/item1/277581.txt
1058330,"FRESH PROMISE FOODS, INC.",10-K,2019-12-31,279507.txt,40314,/blue/acg7849/share/BS/item1/279507.txt
66382,MILLER HERMAN INC,10-K,2019-06-01,276209.txt,33382,/blue/acg7849/share/BS/item1/276209.txt
912728,FORWARD AIR CORP,10-K,2019-12-31,285619.txt,95942,/blue/acg7849/share/BS/item1/285619.txt
1304161,"Pharma-Bio Serv, Inc.",10-K,2019-10-31,280415.txt,15836,/blue/acg7849/share/BS/item1/280415.txt
1429260,"Fortress Biotech, Inc.",10-K,2019-12-31,281167.txt,88762,/blue/acg7849/share/BS/item1/281167.txt
1697412,Migom Global Corp.,10-K,2019-12-31,283296.txt,9206,/blue/acg7849/share/BS/item1/283296.txt
1527702,iQSTEL Inc,10-K,2019-12-31,281765.txt,65468,/blue/acg7849/share/BS/item1/281765.txt
1279704,"Cellectar Biosciences, Inc.",10-K,2019-12-31,280300.txt,119508,/blue/acg7849/share/BS/item1/280300.txt
801337,WEBSTER FINANCIAL CORP,10-K,2019-12-31,285024.txt,1782,/blue/acg7849/share/BS/item1/285024.txt
69891,NATIONAL BEVERAGE CORP,10-K,2019-04-27,276265.txt,20719,/blue/acg7849/share/BS/item1/276265.txt
1466258,Ingersoll-Rand plc,10-K,2019-12-31,281362.txt,93322,/blue/acg7849/share/BS/item1/281362.txt
1357615,"KBR, INC.",10-K,2019-12-31,280671.txt,85925,/blue/acg7849/share/BS/item1/280671.txt
39911,GAP INC,10-K,2019-02-02,275912.txt,30928,/blue/acg7849/share/BS/item1/275912.txt
814586,"Lifeway Foods, Inc.",10-K,2019-12-31,285092.txt,57514,/blue/acg7849/share/BS/item1/285092.txt
1071236,RED RIVER BANCSHARES INC,10-K,2019-12-31,279592.txt,155603,/blue/acg7849/share/BS/item1/279592.txt
1021635,OGE ENERGY CORP.,10-K,2019-12-31,279261.txt,233066,/blue/acg7849/share/BS/item1/279261.txt
854560,"GREAT SOUTHERN BANCORP, INC.",10-K,2019-12-31,285249.txt,2324780,/blue/acg7849/share/BS/item1/285249.txt
1413447,NXP Semiconductors N.V.,10-K,2019-12-31,281062.txt,193434,/blue/acg7849/share/BS/item1/281062.txt
1477333,"Cloudflare, Inc.",10-K,2019-12-31,281425.txt,91366,/blue/acg7849/share/BS/item1/281425.txt
24741,CORNING INC /NY,10-K,2019-12-31,284210.txt,188699,/blue/acg7849/share/BS/item1/284210.txt
1549922,"Summit Midstream Partners, LP",10-K,2019-12-31,281919.txt,254363,/blue/acg7849/share/BS/item1/281919.txt
844161,CHEROKEE INC,10-K,2019-02-02,277634.txt,24431,/blue/acg7849/share/BS/item1/277634.txt
1040130,PETMED EXPRESS INC,10-K,2019-03-31,265625.txt,68710,/blue/acg7849/share/BS/item1/265625.txt
1261379,Frontier Funds,10-K,2019-12-31,280897.txt,77736,/blue/acg7849/share/BS/item1/280897.txt
1682593,"Community Savings Bancorp, Inc.",10-K,2019-06-30,274204.txt,430877,/blue/acg7849/share/BS/item1/274204.txt
1666384,"AG Twin Brook BDC, Inc.",10-K,2019-12-31,283005.txt,108848,/blue/acg7849/share/BS/item1/283005.txt
92521,SOUTHWESTERN PUBLIC SERVICE CO,10-K,2019-12-31,285722.txt,223802,/blue/acg7849/share/BS/item1/285722.txt
7039,TRECORA RESOURCES,10-K,2019-12-31,284602.txt,40222,/blue/acg7849/share/BS/item1/284602.txt
1143238,Triton Emission Solutions Inc.,10-K,2019-12-31,279982.txt,24089,/blue/acg7849/share/BS/item1/279982.txt
704532,Onto Innovation Inc.,10-K,2019-12-31,284608.txt,100718,/blue/acg7849/share/BS/item1/284608.txt
1679688,"Colony Capital, Inc.",10-K,2019-12-31,283122.txt,102585,/blue/acg7849/share/BS/item1/283122.txt
1051512,TELEPHONE & DATA SYSTEMS INC /DE/,10-K,2019-12-31,279462.txt,95239,/blue/acg7849/share/BS/item1/279462.txt
851968,MOHAWK INDUSTRIES INC,10-K,2019-12-31,285246.txt,81031,/blue/acg7849/share/BS/item1/285246.txt
1478242,IQVIA HOLDINGS INC.,10-K,2019-12-31,281443.txt,76796,/blue/acg7849/share/BS/item1/281443.txt
1711279,"Krystal Biotech, Inc.",10-K,2019-12-31,283442.txt,82280,/blue/acg7849/share/BS/item1/283442.txt
1491487,"Takung Art Co., Ltd.",10-K,2019-12-31,281507.txt,184119,/blue/acg7849/share/BS/item1/281507.txt
1668243,UroGen Pharma Ltd.,10-K,2019-12-31,283016.txt,293772,/blue/acg7849/share/BS/item1/283016.txt
1653876,MOMENTOUS HOLDINGS CORP.,10-K,2019-05-31,273620.txt,57679,/blue/acg7849/share/BS/item1/273620.txt
917491,FARO TECHNOLOGIES INC,10-K,2019-12-31,285659.txt,84776,/blue/acg7849/share/BS/item1/285659.txt
1642122,"Associated Capital Group, Inc.",10-K,2019-12-31,282793.txt,38803,/blue/acg7849/share/BS/item1/282793.txt
790652,IMAGING DIAGNOSTIC SYSTEMS INC /FL/,10-K,2019-06-30,277087.txt,142488,/blue/acg7849/share/BS/item1/277087.txt
47217,HP INC,10-K,2019-10-31,275987.txt,75460,/blue/acg7849/share/BS/item1/275987.txt
1666700,"DuPont de Nemours, Inc.",10-K,2019-12-31,283006.txt,97231,/blue/acg7849/share/BS/item1/283006.txt
1557746,"Aclaris Therapeutics, Inc.",10-K,2019-12-31,281984.txt,98039,/blue/acg7849/share/BS/item1/281984.txt
1553079,"Empire State Realty OP, L.P.",10-K,2019-12-31,281953.txt,70167,/blue/acg7849/share/BS/item1/281953.txt
889609,CONSUMER PORTFOLIO SERVICES INC,10-K,2019-12-31,285473.txt,248774,/blue/acg7849/share/BS/item1/285473.txt
1475841,National Bank Holdings Corp,10-K,2019-12-31,281414.txt,59827,/blue/acg7849/share/BS/item1/281414.txt
707605,AMERISERV FINANCIAL INC /PA/,10-K,2019-12-31,284621.txt,74701,/blue/acg7849/share/BS/item1/284621.txt
107687,WINNEBAGO INDUSTRIES INC,10-K,2019-08-31,266161.txt,73781,/blue/acg7849/share/BS/item1/266161.txt
1538716,Oportun Financial Corp,10-K,2019-12-31,281857.txt,95739,/blue/acg7849/share/BS/item1/281857.txt
1720990,Spartan Energy Acquisition Corp.,10-K,2019-12-31,283533.txt,132956,/blue/acg7849/share/BS/item1/283533.txt
1434588,"Grand Canyon Education, Inc.",10-K,2019-12-31,281193.txt,79717,/blue/acg7849/share/BS/item1/281193.txt
1698991,"Accel Entertainment, Inc.",10-K,2019-12-31,283316.txt,1038,/blue/acg7849/share/BS/item1/283316.txt
1551986,"INNOVATE BIOPHARMACEUTICALS, INC.",10-K,2019-12-31,281938.txt,264256,/blue/acg7849/share/BS/item1/281938.txt
1717547,"Colony Credit Real Estate, Inc.",10-K,2019-12-31,283499.txt,1011108,/blue/acg7849/share/BS/item1/283499.txt
1261379,Frontier Funds,10-K,2019-12-31,281296.txt,77736,/blue/acg7849/share/BS/item1/281296.txt
1419806,RARE ELEMENT RESOURCES LTD,10-K,2019-12-31,281108.txt,37636,/blue/acg7849/share/BS/item1/281108.txt
1069202,LENNOX INTERNATIONAL INC,10-K,2019-12-31,279571.txt,79595,/blue/acg7849/share/BS/item1/279571.txt
1435181,Pharmagreen Biotech Inc.,10-K,2019-09-30,269678.txt,7605,/blue/acg7849/share/BS/item1/269678.txt
1352190,RIDGEWOOD ENERGY S FUND LLC,10-K,2019-12-31,280635.txt,79127,/blue/acg7849/share/BS/item1/280635.txt
65011,MEREDITH CORP,10-K,2019-06-30,276191.txt,1051071,/blue/acg7849/share/BS/item1/276191.txt
80420,POWELL INDUSTRIES INC,10-K,2019-09-30,277220.txt,20165,/blue/acg7849/share/BS/item1/277220.txt
1479247,United States Commodity Index Funds Trust,10-K,2019-12-31,281447.txt,172461,/blue/acg7849/share/BS/item1/281447.txt
1589526,Blue Bird Corp,10-K,2019-09-28,272165.txt,99496,/blue/acg7849/share/BS/item1/272165.txt
933136,Mr. Cooper Group Inc.,10-K,2019-12-31,285768.txt,62671,/blue/acg7849/share/BS/item1/285768.txt
822663,INTER PARFUMS INC,10-K,2019-12-31,285129.txt,1297,/blue/acg7849/share/BS/item1/285129.txt
1584509,Aramark,10-K,2019-09-27,272075.txt,102505,/blue/acg7849/share/BS/item1/272075.txt
1552164,AVRA INC.,10-K,2019-01-31,271385.txt,43596,/blue/acg7849/share/BS/item1/271385.txt
1175505,"FIVE PRIME THERAPEUTICS, INC.",10-K,2019-12-31,280104.txt,181021,/blue/acg7849/share/BS/item1/280104.txt
1527166,Carlyle Group Inc.,10-K,2019-12-31,281757.txt,399755,/blue/acg7849/share/BS/item1/281757.txt
1070750,"HOST HOTELS & RESORTS, INC.",10-K,2019-12-31,279528.txt,542542,/blue/acg7849/share/BS/item1/279528.txt
1595585,"Tricida, Inc.",10-K,2019-12-31,282362.txt,285441,/blue/acg7849/share/BS/item1/282362.txt
922358,FERRELLGAS PARTNERS L P,10-K,2019-07-31,278704.txt,39655,/blue/acg7849/share/BS/item1/278704.txt
7536,ARROW ELECTRONICS INC,10-K,2019-12-31,284850.txt,43834,/blue/acg7849/share/BS/item1/284850.txt
1526689,"Generation NEXT Franchise Brands, Inc.",10-K,2019-06-30,270976.txt,16374,/blue/acg7849/share/BS/item1/270976.txt
1040971,SL GREEN REALTY CORP,10-K,2019-12-31,279376.txt,309192,/blue/acg7849/share/BS/item1/279376.txt
1080014,"Innoviva, Inc.",10-K,2019-12-31,279635.txt,22884,/blue/acg7849/share/BS/item1/279635.txt
1005210,SUBURBAN PROPANE PARTNERS LP,10-K,2019-09-28,265135.txt,75053,/blue/acg7849/share/BS/item1/265135.txt
1627014,"Black Knight, Inc.",10-K,2019-12-31,282652.txt,120082,/blue/acg7849/share/BS/item1/282652.txt
1449794,"Embassy Bancorp, Inc.",10-K,2019-12-31,281294.txt,54642,/blue/acg7849/share/BS/item1/281294.txt
1787414,Bogota Financial Corp.,10-K,2019-12-31,284087.txt,125455,/blue/acg7849/share/BS/item1/284087.txt
863110,ARTESIAN RESOURCES CORP,10-K,2019-12-31,285293.txt,33893,/blue/acg7849/share/BS/item1/285293.txt
1575420,Bionovate Technologies Corp.,10-K,2019-06-30,271855.txt,9333,/blue/acg7849/share/BS/item1/271855.txt
1114995,IMPINJ INC,10-K,2019-12-31,279842.txt,31106,/blue/acg7849/share/BS/item1/279842.txt
873799,MORGAN STANLEY SMITH BARNEY SPECTRUM SELECT LP,10-K,2019-12-31,285335.txt,14300,/blue/acg7849/share/BS/item1/285335.txt
918646,EAGLE MATERIALS INC,10-K,2019-03-31,278630.txt,88007,/blue/acg7849/share/BS/item1/278630.txt
1750,AAR CORP,10-K,2019-05-31,275245.txt,28142,/blue/acg7849/share/BS/item1/275245.txt
1402829,Orion Group Holdings Inc,10-K,2019-12-31,280979.txt,52495,/blue/acg7849/share/BS/item1/280979.txt
1377121,"Protagonist Therapeutics, Inc",10-K,2019-12-31,280792.txt,99095,/blue/acg7849/share/BS/item1/280792.txt
1425287,Workhorse Group Inc.,10-K,2019-12-31,281148.txt,95287,/blue/acg7849/share/BS/item1/281148.txt
1359931,"ArTara Therapeutics, Inc.",10-K,2019-12-31,280685.txt,229710,/blue/acg7849/share/BS/item1/280685.txt
1583077,"Hospitality Investors Trust, Inc.",10-K,2019-12-31,282240.txt,34325,/blue/acg7849/share/BS/item1/282240.txt
1379043,"DUKE MOUNTAIN RESOURCES, INC.",10-K,2019-12-31,280809.txt,7140,/blue/acg7849/share/BS/item1/280809.txt
1438901,"4Less Group, Inc.",10-K,2019-01-31,269745.txt,9339,/blue/acg7849/share/BS/item1/269745.txt
1445283,"PROTEOSTASIS THERAPEUTICS, INC.",10-K,2019-12-31,281268.txt,131735,/blue/acg7849/share/BS/item1/281268.txt
886744,GERON CORP,10-K,2019-12-31,285448.txt,104950,/blue/acg7849/share/BS/item1/285448.txt
