CIK,coName,formtype,date,fName,length,full_link,performance,clstr
1280600,ACCELERON PHARMA INC,10-K,2019-12-31,280305.txt,188572,/blue/acg7849/share/BS/item1/280305.txt,-0.247289594,46
1058811,IMMERSION CORP,10-K,2019-12-31,279509.txt,48195,/blue/acg7849/share/BS/item1/279509.txt,-0.160547225,45
1462120,"Live Oak Bancshares, Inc.",10-K,2019-12-31,281337.txt,108010,/blue/acg7849/share/BS/item1/281337.txt,0.0037454024,12
1693256,"Select Energy Services, Inc.",10-K,2019-12-31,283258.txt,96505,/blue/acg7849/share/BS/item1/283258.txt,0.0020658643,20
1052595,Red Lion Hotels CORP,10-K,2019-12-31,279468.txt,126409,/blue/acg7849/share/BS/item1/279468.txt,-0.077191118,19
1645460,"Cue Biopharma, Inc.",10-K,2019-12-31,282822.txt,90965,/blue/acg7849/share/BS/item1/282822.txt,-0.512520075,49
1682852,"Moderna, Inc.",10-K,2019-12-31,283163.txt,1090790,/blue/acg7849/share/BS/item1/283163.txt,-0.323401211,47
78814,PITNEY BOWES INC /DE/,10-K,2019-12-31,284955.txt,39439,/blue/acg7849/share/BS/item1/284955.txt,0.0073440158,16
1489393,LyondellBasell Industries N.V.,10-K,2019-12-31,281491.txt,190745,/blue/acg7849/share/BS/item1/281491.txt,0.111614917,42
1740547,Urovant Sciences Ltd.,10-K,2019-03-31,275176.txt,145405,/blue/acg7849/share/BS/item1/275176.txt,-2.318429576,46
810136,PHOTRONICS INC,10-K,2019-10-31,277268.txt,23991,/blue/acg7849/share/BS/item1/277268.txt,0.026632638,45
1327318,"TrueCar, Inc.",10-K,2019-12-31,280530.txt,118430,/blue/acg7849/share/BS/item1/280530.txt,-0.130167636,6
1128361,HOPE BANCORP INC,10-K,2019-12-31,279912.txt,86499,/blue/acg7849/share/BS/item1/279912.txt,0.0109169079,12
1000229,CORE LABORATORIES N V,10-K,2019-12-31,279101.txt,117687,/blue/acg7849/share/BS/item1/279101.txt,0.121535151,20
1614806,Great Ajax Corp.,10-K,2019-12-31,282530.txt,119449,/blue/acg7849/share/BS/item1/282530.txt,0.0220091943,7
1071993,CONTANGO OIL & GAS CO,10-K,2019-12-31,279597.txt,115147,/blue/acg7849/share/BS/item1/279597.txt,-0.451623114,9
1041514,NET 1 UEPS TECHNOLOGIES INC,10-K,2019-06-30,265654.txt,60161,/blue/acg7849/share/BS/item1/265654.txt,-0.455625795,16
1656634,"Gritstone Oncology, Inc.",10-K,2019-12-31,282928.txt,175427,/blue/acg7849/share/BS/item1/282928.txt,-0.512140095,47
744825,AMERICAN SHARED HOSPITAL SERVICES,10-K,2019-12-31,284816.txt,146108,/blue/acg7849/share/BS/item1/284816.txt,0.0122529424,1
1413488,"MCTC Holdings, Inc.",10-K,2019-08-31,269360.txt,67241,/blue/acg7849/share/BS/item1/269360.txt,-1.813953488,31
704440,REPRO MED SYSTEMS INC,10-K,2019-12-31,284607.txt,24539,/blue/acg7849/share/BS/item1/284607.txt,0.0406281516,32
899460,MANNKIND CORP,10-K,2019-12-31,285553.txt,67137,/blue/acg7849/share/BS/item1/285553.txt,-0.553779675,41
1177702,SAIA INC,10-K,2019-12-31,280113.txt,69785,/blue/acg7849/share/BS/item1/280113.txt,0.0803274439,15
72741,EVERSOURCE ENERGY,10-K,2019-12-31,284739.txt,136792,/blue/acg7849/share/BS/item1/284739.txt,0.0221052154,27
1356104,"Mellanox Technologies, Ltd.",10-K,2019-12-31,280663.txt,158030,/blue/acg7849/share/BS/item1/280663.txt,0.0967525541,45
1360604,"HEALTHCARE TRUST OF AMERICA, INC.",10-K,2019-12-31,281544.txt,324881,/blue/acg7849/share/BS/item1/281544.txt,0.0045421208,1
1109116,ENTRAVISION COMMUNICATIONS CORP,10-K,2019-12-31,279816.txt,146646,/blue/acg7849/share/BS/item1/279816.txt,-0.030039622,36
311094,WESTAMERICA BANCORPORATION,10-K,2019-12-31,284265.txt,33926,/blue/acg7849/share/BS/item1/284265.txt,0.0143052252,12
1743745,"Greenlane Holdings, Inc.",10-K,2019-12-31,283722.txt,79466,/blue/acg7849/share/BS/item1/283722.txt,-0.188091539,35
870385,CAROLINA FINANCIAL CORP,10-K,2019-12-31,285326.txt,225252,/blue/acg7849/share/BS/item1/285326.txt,0.0133237826,12
1620533,Shake Shack Inc.,10-K,2019-12-25,282589.txt,178008,/blue/acg7849/share/BS/item1/282589.txt,0.0204767688,21
830524,CHASE CORP,10-K,2019-08-31,277519.txt,37667,/blue/acg7849/share/BS/item1/277519.txt,0.1062155808,42
1352952,CFN Enterprises Inc.,10-K,2019-12-31,280636.txt,13320,/blue/acg7849/share/BS/item1/280636.txt,-14.09626216,31
1528129,"Laredo Petroleum, Inc.",10-K,2019-12-31,281770.txt,502011,/blue/acg7849/share/BS/item1/281770.txt,-0.151233618,9
858800,EMCLAIRE FINANCIAL CORP,10-K,2019-12-31,285268.txt,598105,/blue/acg7849/share/BS/item1/285268.txt,0.008690085,4
926617,"VERMILLION, INC.",10-K,2019-12-31,285731.txt,64892,/blue/acg7849/share/BS/item1/285731.txt,-1.101894706,44
59860,GOLDRICH MINING CO,10-K,2019-12-31,284519.txt,27016,/blue/acg7849/share/BS/item1/284519.txt,-3.590344828,38
1121142,Maxar Technologies Inc.,10-K,2019-12-31,279866.txt,52273,/blue/acg7849/share/BS/item1/279866.txt,0.0160946287,39
1775625,"SmileDirectClub, Inc.",10-K,2019-12-31,283993.txt,151409,/blue/acg7849/share/BS/item1/283993.txt,-0.129298985,34
1074902,LCNB CORP,10-K,2019-12-31,279609.txt,452403,/blue/acg7849/share/BS/item1/279609.txt,0.0115365752,12
1760173,"RTI Surgical Holdings, Inc.",10-K,2019-12-31,283866.txt,99505,/blue/acg7849/share/BS/item1/283866.txt,-0.614329379,34
61004,LGL GROUP INC,10-K,2019-12-31,284526.txt,21625,/blue/acg7849/share/BS/item1/284526.txt,0.1789020068,45
1178879,"AMICUS THERAPEUTICS, INC.",10-K,2019-12-31,280122.txt,188672,/blue/acg7849/share/BS/item1/280122.txt,-0.419177918,46
1469372,MSG NETWORKS INC.,10-K,2019-06-30,270103.txt,38514,/blue/acg7849/share/BS/item1/270103.txt,0.2147678103,36
1228454,BCB BANCORP INC,10-K,2019-12-31,280195.txt,197846,/blue/acg7849/share/BS/item1/280195.txt,0.0072344734,4
1072379,NORTHWEST BIOTHERAPEUTICS INC,10-K,2019-12-31,279598.txt,35336,/blue/acg7849/share/BS/item1/279598.txt,-2.223244605,47
891482,FULL HOUSE RESORTS INC,10-K,2019-12-31,285492.txt,37187,/blue/acg7849/share/BS/item1/285492.txt,-0.027548679,19
79879,PPG INDUSTRIES INC,10-K,2019-12-31,285011.txt,87503,/blue/acg7849/share/BS/item1/285011.txt,0.0701942625,42
1084991,NATURAL GAS SERVICES GROUP INC,10-K,2019-12-31,279671.txt,76488,/blue/acg7849/share/BS/item1/279671.txt,-0.048377923,20
1701114,"Blue Apron Holdings, Inc.",10-K,2019-12-31,283335.txt,26964,/blue/acg7849/share/BS/item1/283335.txt,-0.229571721,35
1596993,DORIAN LPG LTD.,10-K,2019-03-31,272338.txt,122431,/blue/acg7849/share/BS/item1/272338.txt,0.0668921505,15
1515673,Ultragenyx Pharmaceutical Inc.,10-K,2019-12-31,281683.txt,194549,/blue/acg7849/share/BS/item1/281683.txt,-0.354670558,46
14930,BRUNSWICK CORP,10-K,2019-12-31,281520.txt,92287,/blue/acg7849/share/BS/item1/281520.txt,0.0085287846,37
4977,AFLAC INC,10-K,2019-12-31,284468.txt,170588,/blue/acg7849/share/BS/item1/284468.txt,0.021627566,3
1372612,BOX INC,10-K,2019-01-31,268678.txt,29330,/blue/acg7849/share/BS/item1/268678.txt,-0.15036391,24
275880,PARSONS CORP,10-K,2019-12-31,284227.txt,63210,/blue/acg7849/share/BS/item1/284227.txt,0.034933665,17
718413,COMMUNITY BANCORP /VT,10-K,2019-12-31,284680.txt,64127,/blue/acg7849/share/BS/item1/284680.txt,0.0119573687,12
1101396,"DELTA APPAREL, INC",10-K,2019-09-28,266525.txt,22916,/blue/acg7849/share/BS/item1/266525.txt,0.021804925,40
72741,EVERSOURCE ENERGY,10-K,2019-12-31,284203.txt,136792,/blue/acg7849/share/BS/item1/284203.txt,0.0221052154,27
793733,SKYWEST INC,10-K,2019-12-31,284985.txt,31711,/blue/acg7849/share/BS/item1/284985.txt,0.051087939,15
1378946,"People's United Financial, Inc.",10-K,2019-12-31,280804.txt,68941,/blue/acg7849/share/BS/item1/280804.txt,0.0088820921,12
1477845,"Annovis Bio, Inc.",10-K,2019-12-31,281440.txt,187288,/blue/acg7849/share/BS/item1/281440.txt,-0.887197851,48
1065280,NETFLIX INC,10-K,2019-12-31,279545.txt,11805,/blue/acg7849/share/BS/item1/279545.txt,0.0549485468,36
1133869,"CAPRICOR THERAPEUTICS, INC.",10-K,2019-12-31,279940.txt,173241,/blue/acg7849/share/BS/item1/279940.txt,-0.687601224,48
1578732,"Marcus & Millichap, Inc.",10-K,2019-12-31,282189.txt,46547,/blue/acg7849/share/BS/item1/282189.txt,0.1084997334,6
1617406,Park Hotels & Resorts Inc.,10-K,2019-12-31,282556.txt,251707,/blue/acg7849/share/BS/item1/282556.txt,0.0271036315,19
1479419,"Kala Pharmaceuticals, Inc.",10-K,2019-12-31,281449.txt,222652,/blue/acg7849/share/BS/item1/281449.txt,-0.611360588,48
939930,"PYXUS INTERNATIONAL, INC.",10-K,2019-03-31,278922.txt,158491,/blue/acg7849/share/BS/item1/278922.txt,-0.150114318,31
1729149,"VIEMED HEALTHCARE, INC.",10-K,2019-12-31,283609.txt,115247,/blue/acg7849/share/BS/item1/283609.txt,0.1032132307,1
1530766,"BioSig Technologies, Inc.",10-K,2019-12-31,281792.txt,75347,/blue/acg7849/share/BS/item1/281792.txt,-2.395371738,34
784199,CRYOLIFE INC,10-K,2019-12-31,284943.txt,333357,/blue/acg7849/share/BS/item1/284943.txt,0.0028399053,34
1419536,Capital Bancorp Inc,10-K,2019-12-31,281103.txt,313676,/blue/acg7849/share/BS/item1/281103.txt,0.0118271328,12
1101680,DASAN ZHONE SOLUTIONS INC,10-K,2019-12-31,279770.txt,37221,/blue/acg7849/share/BS/item1/279770.txt,-0.054670583,39
1434842,Forbes Energy Services Ltd.,10-K,2019-12-31,281200.txt,96961,/blue/acg7849/share/BS/item1/281200.txt,-0.359493338,20
1413329,Philip Morris International Inc.,10-K,2019-12-31,281061.txt,55876,/blue/acg7849/share/BS/item1/281061.txt,0.1675801749,35
1673985,AdvanSix Inc.,10-K,2019-12-31,283070.txt,104878,/blue/acg7849/share/BS/item1/283070.txt,0.0334531044,42
1585689,Hilton Worldwide Holdings Inc.,10-K,2019-12-31,282268.txt,607075,/blue/acg7849/share/BS/item1/282268.txt,0.0589021863,19
66382,MILLER HERMAN INC,10-K,2019-06-01,276209.txt,33382,/blue/acg7849/share/BS/item1/276209.txt,-0.004430595,30
912728,FORWARD AIR CORP,10-K,2019-12-31,285619.txt,95942,/blue/acg7849/share/BS/item1/285619.txt,0.0879008314,15
1304161,"Pharma-Bio Serv, Inc.",10-K,2019-10-31,280415.txt,15836,/blue/acg7849/share/BS/item1/280415.txt,0.0783614313,17
1429260,"Fortress Biotech, Inc.",10-K,2019-12-31,281167.txt,88762,/blue/acg7849/share/BS/item1/281167.txt,-0.176484617,49
1279704,"Cellectar Biosciences, Inc.",10-K,2019-12-31,280300.txt,119508,/blue/acg7849/share/BS/item1/280300.txt,-1.150355073,49
801337,WEBSTER FINANCIAL CORP,10-K,2019-12-31,285024.txt,1782,/blue/acg7849/share/BS/item1/285024.txt,0.0125939869,33
69891,NATIONAL BEVERAGE CORP,10-K,2019-04-27,276265.txt,20719,/blue/acg7849/share/BS/item1/276265.txt,0.2003743182,35
1466258,Ingersoll-Rand plc,10-K,2019-12-31,281362.txt,93322,/blue/acg7849/share/BS/item1/281362.txt,0.0668690191,37
1357615,"KBR, INC.",10-K,2019-12-31,280671.txt,85925,/blue/acg7849/share/BS/item1/280671.txt,0.0376584638,17
39911,GAP INC,10-K,2019-02-02,275912.txt,30928,/blue/acg7849/share/BS/item1/275912.txt,0.0256597705,40
814586,"Lifeway Foods, Inc.",10-K,2019-12-31,285092.txt,57514,/blue/acg7849/share/BS/item1/285092.txt,0.0079491814,35
1071236,RED RIVER BANCSHARES INC,10-K,2019-12-31,279592.txt,155603,/blue/acg7849/share/BS/item1/279592.txt,0.0124855084,12
1021635,OGE ENERGY CORP.,10-K,2019-12-31,279261.txt,233066,/blue/acg7849/share/BS/item1/279261.txt,0.0393312954,27
854560,"GREAT SOUTHERN BANCORP, INC.",10-K,2019-12-31,285249.txt,2324780,/blue/acg7849/share/BS/item1/285249.txt,0.0146781542,4
1413447,NXP Semiconductors N.V.,10-K,2019-12-31,281062.txt,193434,/blue/acg7849/share/BS/item1/281062.txt,0.0121402878,45
1477333,"Cloudflare, Inc.",10-K,2019-12-31,281425.txt,91366,/blue/acg7849/share/BS/item1/281425.txt,-0.127377158,24
24741,CORNING INC /NY,10-K,2019-12-31,284210.txt,188699,/blue/acg7849/share/BS/item1/284210.txt,0.0332202921,45
1549922,"Summit Midstream Partners, LP",10-K,2019-12-31,281919.txt,254363,/blue/acg7849/share/BS/item1/281919.txt,-0.143710916,9
844161,CHEROKEE INC,10-K,2019-02-02,277634.txt,24431,/blue/acg7849/share/BS/item1/277634.txt,-0.138684547,40
1040130,PETMED EXPRESS INC,10-K,2019-03-31,265625.txt,68710,/blue/acg7849/share/BS/item1/265625.txt,0.1664338186,43
92521,SOUTHWESTERN PUBLIC SERVICE CO,10-K,2019-12-31,285722.txt,223802,/blue/acg7849/share/BS/item1/285722.txt,0.0335120814,27
7039,TRECORA RESOURCES,10-K,2019-12-31,284602.txt,40222,/blue/acg7849/share/BS/item1/284602.txt,-0.042687836,38
1143238,Triton Emission Solutions Inc.,10-K,2019-12-31,279982.txt,24089,/blue/acg7849/share/BS/item1/279982.txt,-14.09626216,28
704532,Onto Innovation Inc.,10-K,2019-12-31,284608.txt,100718,/blue/acg7849/share/BS/item1/284608.txt,0.0013185326,45
1679688,"Colony Capital, Inc.",10-K,2019-12-31,283122.txt,102585,/blue/acg7849/share/BS/item1/283122.txt,-0.076232401,1
1051512,TELEPHONE & DATA SYSTEMS INC /DE/,10-K,2019-12-31,279462.txt,95239,/blue/acg7849/share/BS/item1/279462.txt,0.0112234487,39
851968,MOHAWK INDUSTRIES INC,10-K,2019-12-31,285246.txt,81031,/blue/acg7849/share/BS/item1/285246.txt,0.0555933958,22
1478242,IQVIA HOLDINGS INC.,10-K,2019-12-31,281443.txt,76796,/blue/acg7849/share/BS/item1/281443.txt,0.0082147004,18
1711279,"Krystal Biotech, Inc.",10-K,2019-12-31,283442.txt,82280,/blue/acg7849/share/BS/item1/283442.txt,-0.091320094,47
1491487,"Takung Art Co., Ltd.",10-K,2019-12-31,281507.txt,184119,/blue/acg7849/share/BS/item1/281507.txt,-0.126167504,29
1668243,UroGen Pharma Ltd.,10-K,2019-12-31,283016.txt,293772,/blue/acg7849/share/BS/item1/283016.txt,-0.519526849,46
917491,FARO TECHNOLOGIES INC,10-K,2019-12-31,285659.txt,84776,/blue/acg7849/share/BS/item1/285659.txt,-0.127653325,45
1642122,"Associated Capital Group, Inc.",10-K,2019-12-31,282793.txt,38803,/blue/acg7849/share/BS/item1/282793.txt,0.0387652264,23
47217,HP INC,10-K,2019-10-31,275987.txt,75460,/blue/acg7849/share/BS/item1/275987.txt,0.0941823289,45
1666700,"DuPont de Nemours, Inc.",10-K,2019-12-31,283006.txt,97231,/blue/acg7849/share/BS/item1/283006.txt,-0.009280074,42
1557746,"Aclaris Therapeutics, Inc.",10-K,2019-12-31,281984.txt,98039,/blue/acg7849/share/BS/item1/281984.txt,-1.155091203,46
1553079,"Empire State Realty OP, L.P.",10-K,2019-12-31,281953.txt,70167,/blue/acg7849/share/BS/item1/281953.txt,0.0214378328,13
889609,CONSUMER PORTFOLIO SERVICES INC,10-K,2019-12-31,285473.txt,248774,/blue/acg7849/share/BS/item1/285473.txt,0.0021289759,2
1475841,National Bank Holdings Corp,10-K,2019-12-31,281414.txt,59827,/blue/acg7849/share/BS/item1/281414.txt,0.0136315557,12
707605,AMERISERV FINANCIAL INC /PA/,10-K,2019-12-31,284621.txt,74701,/blue/acg7849/share/BS/item1/284621.txt,0.0051469282,12
107687,WINNEBAGO INDUSTRIES INC,10-K,2019-08-31,266161.txt,73781,/blue/acg7849/share/BS/item1/266161.txt,0.1012451199,22
1538716,Oportun Financial Corp,10-K,2019-12-31,281857.txt,95739,/blue/acg7849/share/BS/item1/281857.txt,0.0279752611,16
1434588,"Grand Canyon Education, Inc.",10-K,2019-12-31,281193.txt,79717,/blue/acg7849/share/BS/item1/281193.txt,0.1533317675,10
1698991,"Accel Entertainment, Inc.",10-K,2019-12-31,283316.txt,1038,/blue/acg7849/share/BS/item1/283316.txt,-0.011513458,33
1551986,"INNOVATE BIOPHARMACEUTICALS, INC.",10-K,2019-12-31,281938.txt,264256,/blue/acg7849/share/BS/item1/281938.txt,-5.106475363,46
1717547,"Colony Credit Real Estate, Inc.",10-K,2019-12-31,283499.txt,1011108,/blue/acg7849/share/BS/item1/283499.txt,-0.055907053,7
1419806,RARE ELEMENT RESOURCES LTD,10-K,2019-12-31,281108.txt,37636,/blue/acg7849/share/BS/item1/281108.txt,-0.225314465,38
1069202,LENNOX INTERNATIONAL INC,10-K,2019-12-31,279571.txt,79595,/blue/acg7849/share/BS/item1/279571.txt,0.2008943928,37
65011,MEREDITH CORP,10-K,2019-06-30,276191.txt,1051071,/blue/acg7849/share/BS/item1/276191.txt,0.0210366798,36
80420,POWELL INDUSTRIES INC,10-K,2019-09-30,277220.txt,20165,/blue/acg7849/share/BS/item1/277220.txt,0.0211591084,37
1589526,Blue Bird Corp,10-K,2019-09-28,272165.txt,99496,/blue/acg7849/share/BS/item1/272165.txt,0.0665000972,28
933136,Mr. Cooper Group Inc.,10-K,2019-12-31,285768.txt,62671,/blue/acg7849/share/BS/item1/285768.txt,0.0149685878,2
822663,INTER PARFUMS INC,10-K,2019-12-31,285129.txt,1297,/blue/acg7849/share/BS/item1/285129.txt,0.0726914501,33
1584509,Aramark,10-K,2019-09-27,272075.txt,102505,/blue/acg7849/share/BS/item1/272075.txt,0.0326542311,17
1175505,"FIVE PRIME THERAPEUTICS, INC.",10-K,2019-12-31,280104.txt,181021,/blue/acg7849/share/BS/item1/280104.txt,-0.612120888,49
1527166,Carlyle Group Inc.,10-K,2019-12-31,281757.txt,399755,/blue/acg7849/share/BS/item1/281757.txt,0.0275838596,23
1070750,"HOST HOTELS & RESORTS, INC.",10-K,2019-12-31,279528.txt,542542,/blue/acg7849/share/BS/item1/279528.txt,0.0747663551,19
1595585,"Tricida, Inc.",10-K,2019-12-31,282362.txt,285441,/blue/acg7849/share/BS/item1/282362.txt,-0.475526187,41
922358,FERRELLGAS PARTNERS L P,10-K,2019-07-31,278704.txt,39655,/blue/acg7849/share/BS/item1/278704.txt,-0.050870218,11
7536,ARROW ELECTRONICS INC,10-K,2019-12-31,284850.txt,43834,/blue/acg7849/share/BS/item1/284850.txt,-0.012443725,37
1526689,"Generation NEXT Franchise Brands, Inc.",10-K,2019-06-30,270976.txt,16374,/blue/acg7849/share/BS/item1/270976.txt,-1.207485144,21
1040971,SL GREEN REALTY CORP,10-K,2019-12-31,279376.txt,309192,/blue/acg7849/share/BS/item1/279376.txt,0.0211833951,25
1080014,"Innoviva, Inc.",10-K,2019-12-31,279635.txt,22884,/blue/acg7849/share/BS/item1/279635.txt,0.2170010458,46
1005210,SUBURBAN PROPANE PARTNERS LP,10-K,2019-09-28,265135.txt,75053,/blue/acg7849/share/BS/item1/265135.txt,0.0343443684,11
1627014,"Black Knight, Inc.",10-K,2019-12-31,282652.txt,120082,/blue/acg7849/share/BS/item1/282652.txt,0.0274553346,16
1449794,"Embassy Bancorp, Inc.",10-K,2019-12-31,281294.txt,54642,/blue/acg7849/share/BS/item1/281294.txt,0.0092499143,12
1787414,Bogota Financial Corp.,10-K,2019-12-31,284087.txt,125455,/blue/acg7849/share/BS/item1/284087.txt,0.0031671824,4
863110,ARTESIAN RESOURCES CORP,10-K,2019-12-31,285293.txt,33893,/blue/acg7849/share/BS/item1/285293.txt,0.0266342832,27
1114995,IMPINJ INC,10-K,2019-12-31,279842.txt,31106,/blue/acg7849/share/BS/item1/279842.txt,-0.106893409,24
918646,EAGLE MATERIALS INC,10-K,2019-03-31,278630.txt,88007,/blue/acg7849/share/BS/item1/278630.txt,0.0239424252,26
1750,AAR CORP,10-K,2019-05-31,275245.txt,28142,/blue/acg7849/share/BS/item1/275245.txt,0.0119288119,37
1402829,Orion Group Holdings Inc,10-K,2019-12-31,280979.txt,52495,/blue/acg7849/share/BS/item1/280979.txt,-0.013572449,20
1377121,"Protagonist Therapeutics, Inc",10-K,2019-12-31,280792.txt,99095,/blue/acg7849/share/BS/item1/280792.txt,-0.498247449,46
1425287,Workhorse Group Inc.,10-K,2019-12-31,281148.txt,95287,/blue/acg7849/share/BS/item1/281148.txt,-0.733374117,28
886744,GERON CORP,10-K,2019-12-31,285448.txt,104950,/blue/acg7849/share/BS/item1/285448.txt,-0.414144771,49
1324404,"CF Industries Holdings, Inc.",10-K,2019-12-31,280504.txt,228894,/blue/acg7849/share/BS/item1/280504.txt,0.0405027933,11
75362,PACCAR INC,10-K,2019-12-31,284851.txt,39760,/blue/acg7849/share/BS/item1/284851.txt,0.0841963111,37
1498542,"CIM INCOME NAV, INC.",10-K,2019-12-31,281565.txt,158286,/blue/acg7849/share/BS/item1/281565.txt,0.0169708573,7
723125,MICRON TECHNOLOGY INC,10-K,2019-08-29,276535.txt,121449,/blue/acg7849/share/BS/item1/276535.txt,0.1291345347,45
1490873,"ECO SCIENCE SOLUTIONS, INC.",10-K,2019-01-31,270367.txt,79908,/blue/acg7849/share/BS/item1/270367.txt,-14.09626216,31
1160791,GOLD RESOURCE CORP,10-K,2019-12-31,280020.txt,11790,/blue/acg7849/share/BS/item1/280020.txt,0.0302157379,38
1585790,"Advanced Disposal Services, Inc.",10-K,2019-12-31,282269.txt,1057,/blue/acg7849/share/BS/item1/282269.txt,-0.001862565,33
709337,FARMERS NATIONAL BANC CORP /OH/,10-K,2019-12-31,284632.txt,51744,/blue/acg7849/share/BS/item1/284632.txt,0.0146009363,12
1556266,"TD Holdings, Inc.",10-K,2019-12-31,281971.txt,269471,/blue/acg7849/share/BS/item1/281971.txt,-0.608886547,29
733076,BRIGHTHOUSE LIFE INSURANCE Co,10-K,2019-12-31,284777.txt,128110,/blue/acg7849/share/BS/item1/284777.txt,-0.003742719,3
1530950,"Post Holdings, Inc.",10-K,2019-09-30,271074.txt,80327,/blue/acg7849/share/BS/item1/271074.txt,0.0104337495,35
22701,COMMUNICATIONS SYSTEMS INC,10-K,2019-12-31,284195.txt,65009,/blue/acg7849/share/BS/item1/284195.txt,0.0042433771,39
92230,TRUIST FINANCIAL CORP,10-K,2019-12-31,285696.txt,266818,/blue/acg7849/share/BS/item1/285696.txt,0.0068149438,12
1327688,OOMA INC,10-K,2019-01-31,268148.txt,33676,/blue/acg7849/share/BS/item1/268148.txt,-0.233231197,39
