,CIK,coName,formtype,date,fName,length
73,0001368365,"REMARK HOLDINGS, INC.",10-K,20191231,280737.txt,"44192
"
74,0001464865,"Lone Star Gold, Inc.",10-K,20171231,270034.txt,"7501
"
75,0001623360,Mirage Energy Corp,10-K,20180731,272933.txt,"15977
"
76,0001223389,CONNS INC,10-K,20180131,267365.txt,"123963
"
77,0001627611,12 Retech Corp,10-K,20181231,273021.txt,"0
"
78,0001566826,"Nxt-ID, Inc.",10-K,20181231,271671.txt,"84741
"
79,0001032208,SEMPRA ENERGY,10-K,20181231,265514.txt,"453771
"
80,0000731766,UNITEDHEALTH GROUP INC,10-K,20171231,276656.txt,"0
"
81,0000031107,EASTERN CO,10-K,20181229,275585.txt,"0
"
82,0001363829,Enstar Group LTD,10-K,20181231,268539.txt,"0
"
83,0000831547,SPECTRUM PHARMACEUTICALS INC,10-K,20181231,277533.txt,"360527
"
84,0001402479,MYOS RENS TECHNOLOGY INC.,10-K,20191231,280978.txt,"0
"
85,0001594136,GS Mortgage Securities Trust 2014-GC18,10-K,20181231,272292.txt,"372
"
86,0000027673,DEERE JOHN CAPITAL CORP,10-K,20201101,284230.txt,"34928
"
87,0000890547,REVLON CONSUMER PRODUCTS CORP,10-K,20191231,285480.txt,"0
"
88,0001371451,HIGHWATER ETHANOL LLC,10-K,20171031,268656.txt,"0
"
89,0001671520,JPMDB Commercial Mortgage Securities Trust 2016-C2,10-K,20171231,273942.txt,"378
"
90,0001370880,"FireEye, Inc.",10-K,20191231,280748.txt,"91188
"
91,0001358403,"BELLICUM PHARMACEUTICALS, INC",10-K,20171231,268476.txt,"237950
"
92,0000216228,ITT Inc.,10-K,20191231,284183.txt,"0
"
93,0001280452,MONOLITHIC POWER SYSTEMS INC,10-K,20191231,280304.txt,"26048
"
94,0001622463,Nissan Auto Receivables 2014-B Owner Trust,10-K,20180331,272920.txt,"388
"
95,0000090498,SIMMONS FIRST NATIONAL CORP,10-K,20181231,278425.txt,"76248
"
96,0001543652,"Free Flow, Inc.",10-K,20181231,271261.txt,"31569
"
97,0001297667,"ATEL Capital Equipment Fund XI, LLC",10-K,20171231,267824.txt,"0
"
98,0001543066,E-WASTE CORP.,10-K,20200229,281886.txt,"25988
"
99,0001318220,"Waste Connections, Inc.",10-K,20171231,268024.txt,"0
"
100,0001571776,Cherry Hill Mortgage Investment Corp,10-K,20181231,271765.txt,"25348
"
101,0001626878,XBiotech Inc.,10-K,20181231,272996.txt,"49396
"
102,0001084991,NATURAL GAS SERVICES GROUP INC,10-K,20171231,266283.txt,"92370
"
103,0000896156,ETHAN ALLEN INTERIORS INC,10-K,20190630,278334.txt,"62994
"
104,0001058090,CHIPOTLE MEXICAN GRILL INC,10-K,20171231,265926.txt,"28615
"
105,0000785557,DLH Holdings Corp.,10-K,20190930,277039.txt,"37662
"
106,0001318568,Everi Holdings Inc.,10-K,20171231,268033.txt,"65040
"
107,0000929351,LIONS GATE ENTERTAINMENT CORP /CN/,10-K,20200331,285748.txt,"309793
"
108,0001726162,GM Financial Automobile Leasing Trust 2018-1,10-K,20181231,275062.txt,"0
"
109,0000908598,"ATRM Holdings, Inc.",10-K,20171231,278456.txt,"26189
"
110,0001412270,Care.com Inc,10-K,20171230,269337.txt,"101571
"
111,0001658520,"OS Support, Inc.",10-K,20190630,282944.txt,"5840
"
112,0001460702,RITTER PHARMACEUTICALS INC,10-K,20191231,281330.txt,"0
"
113,0001037868,AMETEK INC/,10-K,20181231,265592.txt,"68264
"
114,0001527709,"Mid-Con Energy Partners, LP",10-K,20171231,271008.txt,"52956
"
115,0000011199,BEMIS CO INC,10-K,20181231,266713.txt,"30159
"
116,0001678038,JPMCC Commercial Mortgage Securities Trust 2016-JP2,10-K,20181231,274074.txt,"378
"
117,0001022321,GENESIS ENERGY LP,10-K,20181231,265393.txt,"398942
"
118,0001652031,Bank of America Merrill Lynch Commercial Mortgage Trust 2015-UBS7,10-K,20191231,282879.txt,"0
"
119,0001413119,"Kraig Biocraft Laboratories, Inc",10-K,20171231,269350.txt,"0
"
120,0001661136,CSAIL 2016-C5 Commercial Mortgage Trust,10-K,20191231,282966.txt,"378
"
121,0001396033,"Lumber Liquidators Holdings, Inc.",10-K,20191231,280938.txt,"22884
"
122,0000355379,MIDWEST HOLDING INC.,10-K,20171231,275820.txt,"33569
"
123,0000026780,DANA INC,10-K,20191231,284222.txt,"164546
"
124,0000771497,ABM INDUSTRIES INC /DE/,10-K,20191031,276950.txt,"685
"
125,0001487712,AIR LEASE CORP,10-K,20171231,270315.txt,"51169
"
126,0001445175,"Xiamen Lutong International Travel Agency Co., Ltd.",10-K,20200630,281267.txt,"0
"
127,0000763744,LCI INDUSTRIES,10-K,20181231,276882.txt,"54775
"
128,0001410187,Cannonau Corp.,10-K,20191231,281034.txt,"4774
"
129,0001078271,EXTREME NETWORKS INC,10-K,20200630,279629.txt,"346255
"
130,0001670541,Adient plc,10-K,20180930,273922.txt,"57655
"
131,0001645590,Hewlett Packard Enterprise Co,10-K,20191031,273416.txt,"94600
"
132,0000082020,UNITED STATES LIME & MINERALS INC,10-K,20181231,277411.txt,"55347
"
133,0001638606,Santander Drive Auto Receivables Trust 2015-2,10-K,20181231,273260.txt,"0
"
134,0001652842,United Royale Holdings Corp.,10-K,20171231,273582.txt,"0
"
135,0000814926,"CAPSTONE COMPANIES, INC.",10-K,20171231,277361.txt,"107618
"
136,0001590058,Citigroup Commercial Mortgage Trust 2013-GC17,10-K,20171231,272172.txt,"226
"
137,0001527190,"National CineMedia, LLC",10-K,20181227,270983.txt,"101700
"
138,0000315293,Aon plc,10-K,20181231,275630.txt,"47992
"
139,0001287750,ARES CAPITAL CORP,10-K,20181231,267722.txt,"264194
"
140,0000929008,WESCO INTERNATIONAL INC,10-K,20181231,278809.txt,"95091
"
141,0000716643,REGIS CORP,10-K,20190630,276448.txt,"251053
"
142,0000317540,"Coca-Cola Consolidated, Inc.",10-K,20191229,284300.txt,"177665
"
143,0001659981,JPMCC Commercial Mortgage Securities Trust 2015-JP1,10-K,20191231,282957.txt,"378
"
144,0001104855,"Support.com, Inc.",10-K,20191231,279795.txt,"20993
"
145,0000789570,MGM Resorts International,10-K,20171231,277075.txt,"0
"
146,0001351901,Commonwealth Income & Growth Fund VI,10-K,20181231,268367.txt,"0
"
147,0001691906,"ANTILIA GROUP, CORP.",10-K,20190131,274395.txt,"11870
"
148,0001551097,Sequoia Mortgage Trust 2012-3,10-K,20171231,271356.txt,"570
"
149,0001011060,AdvanSource Biomaterials Corp,10-K,20180331,265217.txt,"24748
"
150,0000885978,U S PHYSICAL THERAPY INC /NV,10-K,20191231,285441.txt,"54023
"
151,0001729832,Wells Fargo Commercial Mortgage Trust 2018-C43,10-K,20191231,283616.txt,"378
"
152,0001532826,WFRBS Commercial Mortgage Trust 2011-C5,10-K,20181231,271093.txt,"378
"
153,0000723603,CULP INC,10-K,20200503,284715.txt,"65514
"
154,0001067837,ENTERCOM COMMUNICATIONS CORP,10-K,20181231,266057.txt,"634
"
155,0001726079,"Tipmefast, Inc.",10-K,20181231,275059.txt,"923
"
156,0001666947,Ally Auto Receivables Trust 2016-2,10-K,20181231,270203.txt,"1001
"
157,0001524025,"TILLY'S, INC.",10-K,20200201,281735.txt,"135189
"
158,0001280600,ACCELERON PHARMA INC,10-K,20191231,280305.txt,"188572
"
159,0001144980,ASBURY AUTOMOTIVE GROUP INC,10-K,20181231,266971.txt,"156213
"
160,0001058811,IMMERSION CORP,10-K,20191231,279509.txt,"48195
"
161,0001462120,"Live Oak Bancshares, Inc.",10-K,20191231,281337.txt,"108010
"
162,0001537058,Whiting USA Trust II,10-K,20171231,271174.txt,"76335
"
163,0001693256,"Select Energy Services, Inc.",10-K,20191231,283258.txt,"96505
"
164,0001331520,HOME BANCSHARES INC,10-K,20171231,268181.txt,"152930
"
165,0001633858,Audax Credit BDC Inc.,10-K,20191231,282711.txt,"256299
"
166,0001455684,"TPI COMPOSITES, INC",10-K,20181231,269937.txt,"51874
"
167,0001581990,PLAINS GP HOLDINGS LP,10-K,20191231,282229.txt,"0
"
168,0001318268,Madison Technologies Inc.,10-K,20171231,268026.txt,"0
"
169,0000912752,SINCLAIR BROADCAST GROUP INC,10-K,20181231,278528.txt,"0
"
170,0001585389,"SmartStop Self Storage REIT, Inc.",10-K,20191231,282262.txt,"0
"
171,0001686515,Ecco Auto World Corp,10-K,20200331,283189.txt,"0
"
172,0001052595,Red Lion Hotels CORP,10-K,20191231,279468.txt,"126409
"
173,0001645460,"Cue Biopharma, Inc.",10-K,20191231,282822.txt,"90965
"
174,0001575295,COSMO VENTURES INC,10-K,20190331,271846.txt,"11806
"
175,0000822818,CLEAN HARBORS INC,10-K,20181231,277446.txt,"134390
"
176,0000794619,AMERICAN WOODMARK CORP,10-K,20180430,277133.txt,"34080
"
177,0000874499,GULFPORT ENERGY CORP,10-K,20171231,277922.txt,"0
"
178,0001099132,MANHATTAN SCIENTIFICS INC,10-K,20181231,266485.txt,"14471
"
179,0001507385,"VEREIT, Inc.",10-K,20171231,271014.txt,"42526
"
180,0001034842,RIGEL PHARMACEUTICALS INC,10-K,20171231,265541.txt,"86147
"
181,0001424404,Wolverine Technologies Corp.,10-K,20180531,269522.txt,"36276
"
182,0000094049,STEPAN CO,10-K,20171231,278923.txt,"12749
"
183,0001375365,"Super Micro Computer, Inc.",10-K,20200630,280780.txt,"59726
"
184,0001568139,Bio-En Holdings Corp.,10-K,20181231,271702.txt,"21255
"
185,0000025232,COUSINS PROPERTIES INC,10-K,20171231,275471.txt,"26137
"
186,0001128281,"Saker Aviation Services, Inc.",10-K,20181231,266803.txt,"17537
"
187,0001567802,"Perkins Oil & Gas, Inc.",10-K,20180630,271690.txt,"38439
"
188,0001682852,"Moderna, Inc.",10-K,20191231,283163.txt,"1090790
"
189,0001324948,RBC Bearings INC,10-K,20200328,280506.txt,"29178
"
190,0001715942,"DATA VISION, INC.",10-K,20191231,283484.txt,"8326
"
191,0001449488,CSI Compressco LP,10-K,20171231,269881.txt,"79948
"
192,0000078814,PITNEY BOWES INC /DE/,10-K,20191231,284955.txt,"39439
"
193,0001604028,"ADVANCED DRAINAGE SYSTEMS, INC.",10-K,20180331,272471.txt,"41869
"
194,0001301787,BlueLinx Holdings Inc.,10-K,20191228,280407.txt,"0
"
195,0001623518,Navient Student Loan Trust 2014-8,10-K,20181231,272935.txt,"702
"
196,0001641832,Capital Auto Receivables Asset Trust 2015-2,10-K,20171231,273327.txt,"1001
"
197,0001361983,ORBCOMM Inc.,10-K,20171231,268519.txt,"70073
"
198,0001489393,LyondellBasell Industries N.V.,10-K,20191231,281491.txt,"190745
"
199,0001740547,Urovant Sciences Ltd.,10-K,20190331,275176.txt,"145405
"
200,0000068709,MTS SYSTEMS CORP,10-K,20201003,284575.txt,"62738
"
201,0001692115,"Southwest Gas Holdings, Inc.",10-K,20181231,274401.txt,"190601
"
202,0001446687,"Hartman Short Term Income Properties XX, Inc.",10-K,20191231,281275.txt,"39469
"
203,0000810136,PHOTRONICS INC,10-K,20191031,277268.txt,"23991
"
204,0001087294,CUMBERLAND PHARMACEUTICALS INC,10-K,20171231,266311.txt,"261529
"
205,0001327318,"TrueCar, Inc.",10-K,20191231,280530.txt,"118430
"
206,0001593812,Vaulted Gold Bullion Trust,10-K,20181031,272282.txt,"0
"
207,0000351789,ELECTRO SENSORS INC,10-K,20191231,284352.txt,"303
"
208,0000784539,EACO CORP,10-K,20200831,284944.txt,"13731
"
209,0001527728,Enochian Biosciences Inc,10-K,20200630,281767.txt,"0
"
210,0000318154,AMGEN INC,10-K,20181231,275671.txt,"366392
"
211,0001128361,HOPE BANCORP INC,10-K,20191231,279912.txt,"86499
"
212,0001722010,OP Bancorp,10-K,20181231,275007.txt,"119015
"
213,0001464963,"THL Credit, Inc.",10-K,20171231,270037.txt,"125086
"
214,0001165320,GB SCIENCES INC,10-K,20200331,280047.txt,"41732
"
215,0001600823,Morgan Stanley Bank of America Merrill Lynch Trust 2014-C15,10-K,20171231,272403.txt,"724
"
216,0001541401,"Empire State Realty Trust, Inc.",10-K,20181231,271235.txt,"68675
"
217,0001000229,CORE LABORATORIES N V,10-K,20191231,279101.txt,"117687
"
218,0001555902,UBS-Barclays Commercial Mortgage Trust 2012-C3,10-K,20181231,271446.txt,"166
"
219,0001614806,Great Ajax Corp.,10-K,20191231,282530.txt,"119449
"
220,0001071993,CONTANGO OIL & GAS CO,10-K,20191231,279597.txt,"115147
"
221,0001595710,Morgan Stanley Bank of America Merrill Lynch Trust 2014-C14,10-K,20171231,272316.txt,"724
"
222,0000821130,UNITED STATES CELLULAR CORP,10-K,20171231,277426.txt,"36271
"
223,0001041514,NET 1 UEPS TECHNOLOGIES INC,10-K,20190630,265654.txt,"60161
"
224,0001017480,HIBBETT SPORTS INC,10-K,20200201,279232.txt,"86485
"
225,0001500217,"American Assets Trust, Inc.",10-K,20181231,270552.txt,"35062
"
226,0001639068,Hubilu Venture Corp,10-K,20181231,273268.txt,"0
"
227,0000096943,TELEFLEX INC,10-K,20171231,279061.txt,"0
"
228,0001463389,"ATEL 14, LLC",10-K,20191231,281345.txt,"0
"
229,0001309132,Aspect FuturesAccess LLC,10-K,20171231,267943.txt,"0
"
230,0001442101,Zhong Ya International Ltd,10-K,20191231,281248.txt,"6543
"
231,0001654672,"Pineapple Express, Inc.",10-K,20181231,282908.txt,"0
"
232,0001554054,AMPERICO CORP,10-K,20150531,271421.txt,"10610
"
233,0001656634,"Gritstone Oncology, Inc.",10-K,20191231,282928.txt,"175427
"
234,0000098677,TOOTSIE ROLL INDUSTRIES INC,10-K,20181231,279084.txt,"9341
"
235,0000727510,"ENZON PHARMACEUTICALS, INC.",10-K,20171231,276598.txt,"42434
"
236,0001513856,"Neurotrope, Inc.",10-K,20171231,270766.txt,"201114
"
237,0001425205,"IOVANCE BIOTHERAPEUTICS, INC.",10-K,20171231,269541.txt,"219479
"
238,0000744825,AMERICAN SHARED HOSPITAL SERVICES,10-K,20191231,284816.txt,"146108
"
239,0001413488,"MCTC Holdings, Inc.",10-K,20190831,269360.txt,"67241
"
240,0001621466,WFRBS Commercial Mortgage Trust 2014-C24,10-K,20191231,282599.txt,"378
"
241,0000089439,MUELLER INDUSTRIES INC,10-K,20181229,278301.txt,"36049
"
242,0001601347,"Pilgrim Bancshares, Inc.",10-K,20171231,272415.txt,"0
"
243,0001533932,"Worldpay, Inc.",10-K,20171231,271116.txt,"149580
"
244,0001452872,"ARC Group, Inc.",10-K,20171231,269913.txt,"260342
"
245,0000704440,REPRO MED SYSTEMS INC,10-K,20191231,284607.txt,"24539
"
246,0000899460,MANNKIND CORP,10-K,20191231,285553.txt,"67137
"
247,0001139552,WFN CREDIT CO LLC,10-K,20191231,279963.txt,"0
"
248,0001177702,SAIA INC,10-K,20191231,280113.txt,"69785
"
249,0001445235,HYBRID Coating Technologies Inc.,10-K,20161231,269827.txt,"60187
"
250,0000072741,EVERSOURCE ENERGY,10-K,20191231,284739.txt,"136792
"
251,0000056978,KULICKE & SOFFA INDUSTRIES INC,10-K,20180929,276104.txt,"0
"
252,0001356104,"Mellanox Technologies, Ltd.",10-K,20191231,280663.txt,"158030
"
253,0001718592,CarMax Auto Owner Trust 2017-4,10-K,20180228,274947.txt,"461
"
254,0000078890,BRINKS CO,10-K,20171231,277062.txt,"109330
"
255,0001396814,"Pacira Pharmaceuticals, Inc.",10-K,20181231,269080.txt,"195747
"
256,0001360604,"HEALTHCARE TRUST OF AMERICA, INC.",10-K,20191231,281544.txt,"324881
"
257,0001575295,Allied Corp.,10-K,20200831,282147.txt,"131817
"
258,0001535635,Service Team Inc.,10-K,20190831,271149.txt,"7618
"
259,0001109116,ENTRAVISION COMMUNICATIONS CORP,10-K,20191231,279816.txt,"146646
"
260,0000311094,WESTAMERICA BANCORPORATION,10-K,20191231,284265.txt,"33926
"
261,0001522704,"Medifirst Solutions, Inc.",10-K,20181231,270916.txt,"0
"
262,0000093410,CHEVRON CORP,10-K,20171231,278868.txt,"557362
"
263,0001743745,"Greenlane Holdings, Inc.",10-K,20191231,283722.txt,"79466
"
264,0000870385,CAROLINA FINANCIAL CORP,10-K,20191231,285326.txt,"225252
"
265,0001705002,Ally Auto Receivables Trust 2017-3,10-K,20171231,270210.txt,"1001
"
266,0000021344,COCA COLA CO,10-K,20181231,275403.txt,"72888
"
267,0000896841,"AVID TECHNOLOGY, INC.",10-K,20171231,278348.txt,"112392
"
268,0001620533,Shake Shack Inc.,10-K,20191225,282589.txt,"178008
"
269,0000766829,SJW GROUP,10-K,20181231,276926.txt,"82395
"
270,0001594012,"Investors Bancorp, Inc.",10-K,20181231,272286.txt,"860
"
271,0000074046,Oil-Dri Corp of America,10-K,20200731,284795.txt,"65045
"
272,0001005699,MAGICJACK VOCALTEC LTD,10-K,20171231,265147.txt,"58048
"
273,0001725134,Leo Holdings Corp.,10-K,20191231,283578.txt,"515
"
274,0000830524,CHASE CORP,10-K,20190831,277519.txt,"37667
"
275,0000216228,ITT Inc.,10-K,20171231,275412.txt,"0
"
276,0001757018,Benchmark 2018-B7 Mortgage Trust,10-K,20191231,283839.txt,"378
"
277,0001352952,CFN Enterprises Inc.,10-K,20191231,280636.txt,"13320
"
278,0000080420,POWELL INDUSTRIES INC,10-K,20200930,285032.txt,"22607
"
279,0001467154,"Novan, Inc.",10-K,20171231,270067.txt,"83444
"
280,0001053584,MACATAWA BANK CORP,10-K,20171231,265864.txt,"58489
"
281,0000104169,Walmart Inc.,10-K,20190131,265677.txt,"0
"
282,0001047127,"AMKOR TECHNOLOGY, INC.",10-K,20171231,265769.txt,"154531
"
283,0001283699,"T-Mobile US, Inc.",10-K,20171231,267681.txt,"64318
"
284,0000793306,BLUE DOLPHIN ENERGY CO,10-K,20171231,277114.txt,"0
"
285,0001528129,"Laredo Petroleum, Inc.",10-K,20191231,281770.txt,"502011
"
286,0001720749,Volkswagen Auto Loan Enhanced Trust 2018-1,10-K,20181231,274985.txt,"0
"
287,0001698209,Vantage Energy Acquisition Corp.,10-K,20171231,274527.txt,"151760
"
288,0000020212,CHURCHILL DOWNS Inc,10-K,20171231,275369.txt,"132448
"
289,0000858800,EMCLAIRE FINANCIAL CORP,10-K,20191231,285268.txt,"598105
"
290,0000926617,"VERMILLION, INC.",10-K,20191231,285731.txt,"64892
"
291,0000059860,GOLDRICH MINING CO,10-K,20191231,284519.txt,"27016
"
292,0001410939,Ophthotech Corp.,10-K,20171231,269306.txt,"304864
"
293,0001333274,MERCER INTERNATIONAL INC.,10-K,20181231,268197.txt,"8711
"
294,0001121142,Maxar Technologies Inc.,10-K,20191231,279866.txt,"52273
"
295,0001775625,"SmileDirectClub, Inc.",10-K,20191231,283993.txt,"151409
"
296,0001682860,Wells Fargo Commercial Mortgage Trust 2016-LC24,10-K,20171231,274210.txt,"378
"
297,0001074902,LCNB CORP,10-K,20191231,279609.txt,"452403
"
298,0001230245,PIPER SANDLER COMPANIES,10-K,20191231,280198.txt,"0
"
299,0000768408,CYANOTECH CORP,10-K,20200331,284894.txt,"24801
"
300,0001126294,"GenOn Energy, Inc.",10-K,20171231,266906.txt,"0
"
301,0001657045,"AllyMe Group, Inc./NV",10-K,20191231,282932.txt,"0
"
302,0001760173,"RTI Surgical Holdings, Inc.",10-K,20191231,283866.txt,"99505
"
303,0001111928,IPG PHOTONICS CORP,10-K,20191231,279830.txt,"0
"
304,0001643293,COMM 2015-LC21 Mortgage Trust,10-K,20181231,273360.txt,"166
"
305,0001422141,ZETA ACQUISITION CORP I,10-K,20181231,269491.txt,"27298
"
306,0000024491,COOPER TIRE & RUBBER CO,10-K,20171231,275463.txt,"37598
"
307,0000096223,LEUCADIA NATIONAL CORP,10-K,20171231,279045.txt,"0
"
308,0000036146,TRUSTMARK CORP,10-K,20171231,275858.txt,"71293
"
309,0001262823,WESTLAKE CHEMICAL CORP,10-K,20181231,267500.txt,"91113
"
310,0001678848,BITMIS CORP.,10-K,20190630,274097.txt,"15073
"
311,0000803578,INFORMATION ANALYSIS INC,10-K,20171231,277215.txt,"23250
"
312,0000849636,RespireRx Pharmaceuticals Inc.,10-K,20181231,277680.txt,"0
"
313,0000869495,DEEP WELL OIL & GAS INC,10-K,20160930,277884.txt,"41315
"
314,0001320414,SELECT MEDICAL HOLDINGS CORP,10-K,20181231,268049.txt,"0
"
315,0000061004,LGL GROUP INC,10-K,20191231,284526.txt,"21625
"
316,0001124804,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",10-K,20181231,266760.txt,"41972
"
317,0001094814,"Cartesian, Inc.",10-K,20171230,266423.txt,"60670
"
318,0001605435,Capital Auto Receivables Asset Trust 2014-2,10-K,20171231,278273.txt,"1001
"
319,0000004904,AMERICAN ELECTRIC POWER CO INC,10-K,20171231,275003.txt,"869894
"
320,0001423902,"Western Gas Equity Partners, LP",10-K,20171231,269518.txt,"0
"
321,0001402281,Erin Energy Corp.,10-K,20171231,269147.txt,"434845
"
322,0001178879,"AMICUS THERAPEUTICS, INC.",10-K,20191231,280122.txt,"188672
"
323,0001687605,CITIGROUP COMMERCIAL MORTGAGE TRUST 2016-C3,10-K,20181231,274299.txt,"230
"
324,0001022079,QUEST DIAGNOSTICS INC,10-K,20181231,265389.txt,"0
"
325,0001412486,"Cocrystal Pharma, Inc.",10-K,20171231,269341.txt,"0
"
326,0001723083,Victory Commercial Management Inc.,10-K,20191231,283552.txt,"0
"
327,0001469372,MSG NETWORKS INC.,10-K,20190630,270103.txt,"38514
"
328,0001663641,Ando Holdings Ltd.,10-K,20190930,282985.txt,"43097
"
